                                 Test Report,,,,,
,,,,,
>>Start Time: 01/10/19 09:11:06       End Time: 01/10/19 13:43:35,,,,,
>>Sampling rate: 1sec,,,,,
>>Data number: 16350,,,,,
>>Temp Alarm HI: 40 C   Temp Alarm Low: 0 C,,,,,
>>RH Alarm HI: 90 %RH   RH Alarm Low: 10 %RH,,,,,
>>Temp MAX: 31.4 C @13:22:19 01/10/19  Temp MIN: 27.6 C @09:13:18 01/10/19  Temp AVG: 29.69 C,,,,,
>>RH MAX: 66.3 %RH @09:13:21 01/10/19  RH MIN: 53.6 %RH @13:25:45 01/10/19  RH AVG: 58.66 %RH,,,,,
----------------------------------------------------------------------------------------------------,,,,,
      NO            ,   Temp              ,,  RH                 ,, TIME 
214,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:39 
215,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:40 
216,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:41 
217,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:42 
218,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:43 
219,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:44 
220,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:45 
221,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:46 
222,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:47 
223,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:48 
224,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:49 
225,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:50 
226,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:51 
227,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:52 
228,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:53 
229,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:54 
230,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:55 
231,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:56 
232,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:57 
233,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:58 
234,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:59 
235,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:15:00 
236,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:15:01 
237,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:15:02 
238,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:03 
239,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:04 
240,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:05 
241,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:06 
242,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:07 
243,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:08 
244,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:09 
245,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:10 
246,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:11 
247,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:12 
248,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:13 
249,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:14 
250,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:15 
251,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:16 
252,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:17 
253,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:15:18 
254,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:15:19 
255,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:15:20 
256,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:15:21 
257,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:15:22 
258,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:15:23 
259,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:15:24 
260,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:15:25 
261,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:26 
262,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:27 
263,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:28 
264,   27.7 C           ,,   65.7 %RH           ,,01-10-19/09:15:29 
265,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:30 
266,   27.7 C           ,,   65.7 %RH           ,,01-10-19/09:15:31 
267,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:32 
268,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:33 
269,   27.7 C           ,,   65.7 %RH           ,,01-10-19/09:15:34 
270,   27.7 C           ,,   65.7 %RH           ,,01-10-19/09:15:35 
271,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:36 
272,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:37 
273,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:38 
274,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:39 
275,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:40 
276,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:41 
277,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:42 
278,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:43 
279,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:44 
280,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:45 
281,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:46 
282,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:47 
283,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:48 
284,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:49 
285,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:50 
286,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:51 
287,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:15:52 
288,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:53 
289,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:15:54 
290,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:55 
291,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:56 
292,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:57 
293,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:58 
294,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:15:59 
295,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:00 
296,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:01 
297,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:02 
298,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:03 
299,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:04 
300,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:05 
301,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:06 
302,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:07 
303,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:08 
304,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:16:09 
305,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:16:10 
306,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:16:11 
307,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:16:12 
308,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:16:13 
309,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:16:14 
310,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:15 
311,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:16 
312,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:17 
313,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:18 
314,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:19 
315,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:20 
316,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:21 
317,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:22 
318,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:23 
319,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:24 
320,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:25 
321,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:26 
322,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:27 
323,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:28 
324,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:29 
325,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:30 
326,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:31 
327,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:32 
328,   27.7 C           ,,   65.8 %RH           ,,01-10-19/09:16:33 
